service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Prac.dny_0,1,1,1,1,1,0,0,20241116,20241231
Leto_1,1,1,1,1,1,0,0,20241116,20241231
Soboty_2,0,0,0,0,0,1,0,20241116,20241231
Nedela+sv_3,0,0,0,0,0,0,1,20241116,20241231
Soboty_4,0,0,0,0,0,1,0,20241116,20241231
Nedela+sv_5,0,0,0,0,0,0,1,20241116,20241231
cv_6,1,1,1,1,1,0,0,20241116,20241231
wx_7,1,1,1,1,1,1,1,20241116,20241231
ww_8,0,0,0,0,0,0,1,20241116,20241231
wv_9,1,1,1,1,1,0,0,20241116,20241231
Soboty_10,0,0,0,0,0,1,0,20241116,20241231
Nedela+sv_11,0,0,0,0,0,0,1,20241116,20241231
